Argument,Description,Default Value
robot_model,model type of the Interbotix Arm such as 'wx200' or 'rx150',""""""
robot_name,"name of the robot (typically equal to ``robot_model``, but could be anything)","""$(arg robot_model)"""
base_link_frame,"name of the 'root' link on the arm; typically 'base_link', but can be changed if attaching the arm to a mobile base that already has a 'base_link' frame",'base_link'
use_rviz,launches RViz,true
mode_configs,the file path to the 'mode config' YAML file,refer to `xsarm_diagnostic_tool.launch`_
cmd_joint,name of the joint to rotate,waist
observe_joint,name of the joint for which to plot data (doesn't have to be the same as ``cmd_joint``),waist
test_duration,duration of test in seconds,600
bag_name,name of the `rosbag` for which to save data,"""$(arg observe_joint)_diagnostics"""
use_rqt,whether or not the rqt plots (with preloaded topics) should be launched,true
launch_driver,true if the xsarm_control.launch file should be launched - set to false if you would like to run your own version of this file separately,true
