Argument,Description,Default Value
robot_model,model type of the Interbotix Arm such as 'wx200' or 'rx150',""""""
robot_name,"name of the robot (typically equal to ``robot_model``, but could be anything)",$(arg robot_model)
base_link_frame,"name of the 'root' link on the arm; typically 'base_link', but can be changed if attaching the arm to a mobile base that already has a 'base_link' frame",base_link'
show_ar_tag,"if true, the AR tag mount is included in the 'robot_description' parameter; if false, it is left out; set to true if using the AR tag mount in your project",false
show_gripper_bar,"if true, the gripper_bar link is included in the 'robot_description' parameter; if false, the gripper_bar and finger links are not loaded to the parameter server. Set to false if you have a custom gripper attachment",true
show_gripper_fingers,"if true, the gripper fingers are included in the 'robot_description' parameter; if false, the gripper finger links are not loaded to the parameter server. Set to false if you have custom gripper fingers",true
use_world_frame,"set this to true if you would like to load a 'world' frame to the 'robot_description' parameter which is located exactly at the 'base_link' frame of the robot; if using multiple robots or if you would like to attach the 'base_link' frame of the robot to a different frame, set this to false",true
external_urdf_loc,the file path to the custom urdf.xacro file that you would like to include in the Interbotix robot's urdf.xacro file,""""""
use_rviz,launches RViz,true
world_name,the file path to the Gazebo 'world' file to load,refer to `xsarm_gazebo.launch`_
gui,launch the Gazebo GUI,true
debug,Start gzserver in debug mode using gdb,false
paused,start Gazebo in a paused state,true
recording,enable Gazebo state log recording,false
use_sim_time,"tells ROS nodes asking for time to get the Gazebo-published simulation time, published over the ROS topic /clock",true
use_position_controllers,set to true to have the ability to command arbitrary positions to the arm joints in Gazebo,false
use_trajectory_controllers,set to true to have the ability to command joint trajectories to the arm joints in Gazebo,false
dof,degrees of freedom of the specified arm (only necessary if use_position_controllers is set to true),5
